id,name,price,in_stock,link
175одіссея28,ТОП ціна! Настільна гра Dixit Odyssey (Діксіт Одіссея) УКРАЇНСЬКОЮ! ОРИГІНАЛ!,1499.0,False,https://gameisland.prom.ua//ua/p2520848393-top-tsena-nastolnaya.html
190128,Настільна гра Unmatched: Схід сонця (Sun's Origin),1075.0,False,https://gameisland.prom.ua//ua/p2520863822-nastolnaya-igra-unmatched.html
20228,"Таємні лідери. Королеви та друг (Доповнення, Українською)",360.0,False,https://gameisland.prom.ua//ua/p2521408396-tayemni-lideri-korolevi.html
20428,Орифлама. Полум'я інтриг (Oriflamme: Ablaze) Українською,535.0,False,https://gameisland.prom.ua//ua/p2521409699-oriflama-polumya-intrig.html
21828,"ХіТ! Жах Аркхему (3-тя редакція, Arkham Horror, Українською мовою)",3250.0,False,https://gameisland.prom.ua//ua/p2521422476-hit-uzhas-arkhema.html
43528,Настільна гра Курочки (Hens),510.0,False,https://gameisland.prom.ua//ua/p2527527509-nastolnaya-igra-kurochki.html
19128,Riftforce Сила розлому,845.0,False,https://gameisland.prom.ua//ua/p2530647560-riftforce-sila-rozlomu.html
39028,Настільна гра Сплячі Боги. Підземелля (Sleeping Gods: Dungeons),1000.0,False,https://gameisland.prom.ua//ua/p2530702990-dopolneniek-igre-spyaschie.html
38928,Настільна гра Сплячі Боги (Sleeping Gods),4100.0,False,https://gameisland.prom.ua//ua/p2530706817-nastolnaya-igra-spyaschie.html
43428,Настільна гра Круті Перці. Славні Хлопці,330.0,False,https://gameisland.prom.ua//ua/p2532813501-dopolnenie-igre-krutye.html
59628,Настільна гра Unmatched: Робін Гуд проти Біґфута,1075.0,False,https://gameisland.prom.ua//ua/p2535386794-nastolnaya-igra-unmatched.html
