id,title,in_stock,price,players,age,maker,bbg_url,url
BAU0071,Brainy Trainy Розвиток пам'яті,В наявності,450.0,1 - 15,6+,The Brainy Band,,https://geekach.com.ua/brainy-trainy-razvitie-pamyati/
BAU0075,Brainy Trainy Емоційний інтелект,В наявності,450.0,1 - 15,6+,The Brainy Band,,https://geekach.com.ua/brainy-trainy-emotsionalnyy-intellekt/
56621,Земля кланів (Land of Clans),В наявності,799.0,2 - 4,8+,Tactic,,https://geekach.com.ua/zemlya-klanov-land-of-clans-ukr/
58139,Прапори світу Tactic,В наявності,799.0,2 - 6,8+,Tactic,,https://geekach.com.ua/flagi-mira-ukr-tactic/
53913,Доміно (в металевій коробці),В наявності,599.0,2 - 4,7+,Tactic,,https://geekach.com.ua/domino-v-metallicheskoy-korobke/
40218,Шахи (у картонній коробці),В наявності,949.0,2,7+,Tactic,,https://geekach.com.ua/shakhmaty-v-kartonnoy-korobke/
2285,Яцзи Tactic,В наявності,269.0,2+,5+,Tactic,,https://geekach.com.ua/yatszy-tactic/
4090,Унікат (Unikat),В наявності,549.0,2 - 4,8+,Granna,,https://geekach.com.ua/unikat-unikat/
OTH0091,Між нами Kids,В наявності,749.0,2+,6+,Memo Games,,https://geekach.com.ua/mezhdu-nami-kids-ukr/
STZH0105,Silencio (Сіленсіо),В наявності,450.0,2 - 4,10+,Zoch Verlag,,https://geekach.com.ua/silensio-silencio/
BMB015,Адмірал (Admiral),В наявності,1699.0,2 - 6,10+,BombatGame,,https://geekach.com.ua/admiral-admiral/
SG 488 UKR,IQ Твіст (IQ Twist),В наявності,449.0,1,6+,SmartGames,,https://geekach.com.ua/iq-tvist-iq-twist/
OTH0097,Між нами: про любов 18+,В наявності,749.0,2,18+,Memo Games,,https://geekach.com.ua/mezhdu-nami-pro-lubov-18-ukr/
OTH0098,Гра про Країни,В наявності,799.0,2+,7+,Memo Games,,https://geekach.com.ua/igra-pro-strany-ukr/
FI22040,Ринок Камелут (Kameloot),В наявності,595.0,3 - 6,8+,FeelIndigo,,https://geekach.com.ua/rinok-kamelut-kameloot/
BMB016,Кошенята проти Прибульців (російською),В наявності,396.0,4 - 8,9+,BombatGame,,https://geekach.com.ua/kotyata-protiv-prisheltsev/
14001,Шахи (в металевій коробці),В наявності,1449.0,2,7+,Tactic,,https://geekach.com.ua/shakhmaty-v-metallicheskoy-korobke/
