id,title,in_stock,price,players,age,maker,bbg_url,url
1497490646,Бандероль з настільними іграми Mystery Box LIGHT (Передплата на 1 місяць),В наявності,2250.0,1-10,,,,https://gameland.com.ua/mystery-box/1343/4200/
1497491731,Володарі Раґнароку (Lords of Ragnarok),В наявності,6999.0,1-4,14+,Ігрова майстерня,https://boardgamegeek.com/boardgame/340865/lords-of-ragnarok,https://gameland.com.ua/volodari-ragnaroku-lords-of-ragnarok/
1497490647,Бандероль з настільними іграми Mystery Box LIGHT (Передплата на 3 місяці),В наявності,6750.0,1-10,,,,https://gameland.com.ua/copy_banderol-z-nastolkamy-light-peredplata-na-1-misiats/
1497490883,Століття. Великий набір (Century: Big Box),В наявності,3295.0,2-5,8+,Plan B Games,https://boardgamegeek.com/boardgame/382315/century-big-box,https://gameland.com.ua/stolittia.-velykyi-nabir-century-big-box/
R020UA,Зима Мерців: Гра перехресть (Dead of Winter: A Crossroads Game),В наявності,3245.0,2-5,13+,Rozum,https://boardgamegeek.com/boardgame/150376/dead-of-winter-a-crossroads-game,https://gameland.com.ua/zyma-mertsiv-hra-perekhrest-dead-of-winter-a-crossroads-game/
1497490337,Темна Гавань. Щелепи Лева (Gloomhaven Jaws of the Lion),В наявності,3250.0,1-4,14+,Lord Of Boards,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion,https://gameland.com.ua/temna-havan.-shchelepy-leva-gloomhaven-jaws-of-the-lion/
1497490004,Камера! Мотор! Гра про Кіновиробництво (Roll Camera!: The Filmmaking),В наявності,1950.0,1-4,11+,Lord Of Boards,https://boardgamegeek.com/boardgame/298102/roll-camera-filmmaking-board-game,https://gameland.com.ua/kamera-motor-hra-pro-kinovyrobnytstvo-roll-camera-the-filmmaking/
1442122421,Загублені руїни Арнаку (Lost Ruins of Arnak) (укр.),В наявності,2590.0,1-4,12+,Lord Of Boards,https://boardgamegeek.com/boardgame/312484/lost-ruins-arnak,https://gameland.com.ua/zagubleni-ruini-arnaku-lost-ruins-of-arnak-ukr./
1497488919,Кінець віків (Aeon’s End),В наявності,1850.0,1-4,14+,Geekach,https://boardgamegeek.com/boardgame/191189/aeons-end,https://gameland.com.ua/aeons-end-2nd-edition/
1497491158,Дорога Грому. Вендета (Thunder Road: Vendetta),В наявності,2600.0,2-4,10+,Ігромаг,https://boardgamegeek.com/boardgame/342070/thunder-road-vendetta,https://gameland.com.ua/thunder-road-vendetta/
1497488980,Лісовий затишок (Creature Comforts),В наявності,2050.0,1-5,8+,Geekach,https://boardgamegeek.com/boardgame/304051/creature-comforts,https://gameland.com.ua/lisoviy-zatishok/
1497490442,Парк собак (Dog Park),В наявності,2290.0,1-4,10+,Games 7 Days,https://boardgamegeek.com/boardgame/331401/dog-park target=,https://gameland.com.ua/park-sobak-dog-park/
1497490214,Зграя (The Wolves),В наявності,1950.0,2-5,14+,Games 7 Days,https://boardgamegeek.com/boardgame/368058/wolves,https://gameland.com.ua/zghraia-the-wolves/
